"model","model_name","bench_class","scenario","scenario_kind","test","rtr_mode","n_threads","muge","flash_attn","avg_ts","stddev_ts","wall_seconds"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","off","8","False","True","5.296077","0","440.628"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","off","8","False","True","77.865117","0","23.385"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","off","8","False","True","12.7194","0","23.385"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","on","8","False","True","13.503351","0","481.538"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","on","8","False","True","93.003599","0","472.774"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","on","8","False","True","13.590774","0","472.774"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","auto","8","False","True","13.502962","0","467.846"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","auto","8","False","True","93.973689","0","473.234"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","auto","8","False","True","13.492305","0","473.234"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","off","16","False","True","13.561422","0","253.146"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","off","16","False","True","121.454726","0","18.564"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","off","16","False","True","16.080061","0","18.564"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","on","16","False","True","16.109797","0","474.462"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","on","16","False","True","154.038438","0","469.133"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","on","16","False","True","16.512355","0","469.133"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","tg:128","tg","tg128","auto","16","False","True","16.181473","0","466.259"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","pp512","auto","16","False","True","146.173136","0","469.289"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","pg:512:128","pg","tg128","auto","16","False","True","16.558255","0","469.289"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","load:0:1","load_probe","tg1","off","16","False","True","1.771345","0","242.695"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","load:0:1","load_probe","tg1","on","16","False","True","5.918137","0","452.469"
"Z:\files\gguf\lmstudio-community\gpt-oss-120b-GGUF\gpt-oss-120b-MXFP4-00001-of-00002.gguf","gpt-oss-120b-MXFP4-00001-of-00002","swap_bound","load:0:1","load_probe","tg1","auto","16","False","True","6.377148","0","457.696"
