"model","model_name","bench_class","scenario","scenario_kind","test","rtr_mode","n_threads","muge","flash_attn","avg_ts","stddev_ts","wall_seconds"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","on","16","False","True","311.635603","0","10.114"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","on","16","False","True","29.211173","0","10.114"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","off","16","False","True","193.858781","0","4.85"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","off","16","False","True","24.148155","0","7.378"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","off","16","False","True","202.632866","0","9.312"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","off","16","False","True","27.575672","0","9.312"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","on","16","False","True","311.829084","0","5.665"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","on","16","False","True","29.150831","0","8.393"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","on","16","False","True","311.227981","0","10.123"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","on","16","False","True","28.837628","0","10.123"
