"model","model_name","bench_class","scenario","scenario_kind","test","rtr_mode","n_threads","muge","flash_attn","avg_ts","stddev_ts","wall_seconds"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","off","8","False","True","142.344827","6.374363","129.025"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","off","8","False","True","23.933014","1.13704","18.204"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","off","8","False","True","141.692789","8.449751","28.219"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","off","8","False","True","25.482389","0.554301","28.219"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","on","8","False","True","185.751529","14.368477","12.249"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","on","8","False","True","27.672056","0.245277","17.787"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","on","8","False","True","179.57131","3.380342","26.571"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","on","8","False","True","27.414638","0.059389","26.571"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","auto","8","False","True","182.86316","7.00761","12.394"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","auto","8","False","True","27.560275","0.052282","17.991"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","auto","8","False","True","206.481244","2.32014","25.348"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","auto","8","False","True","27.392111","0.183545","25.348"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","off","16","False","True","236.988745","32.738395","8.836"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","off","16","False","True","26.320603","2.638458","16.904"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","pp512","off","16","False","True","237.724039","30.019139","22.543"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pg:512:128","pg","tg128","off","16","False","True","27.866046","0.095161","22.543"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","on","16","False","True","309.48085","1.407841","8.888"
