"model","model_name","bench_class","scenario","scenario_kind","test","rtr_mode","n_threads","muge","flash_attn","avg_ts","stddev_ts","wall_seconds"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","off","16","False","True","190.306854","0","120.029"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","off","16","False","True","23.991672","0","7.493"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","on","16","False","True","308.387477","0","5.62"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","on","16","False","True","29.182043","0","8.266"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","pp:512","pp","pp512","auto","16","False","True","309.129071","0","5.855"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","tg:128","tg","tg128","auto","16","False","True","28.626224","0","8.468"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","pp:512","pp","pp512","off","16","False","True","235.208185","0","80.12"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","tg:128","tg","tg128","off","16","False","True","20.818526","0","8.037"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","pp:512","pp","pp512","on","16","False","True","240.165763","0","4.051"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","tg:128","tg","tg128","on","16","False","True","22.244656","0","7.727"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","pp:512","pp","pp512","auto","16","False","True","247.385565","0","4.194"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","tg:128","tg","tg128","auto","16","False","True","21.915084","0","8.045"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","load:0:1","load_probe","tg1","off","16","False","True","3.35163","0","1.773"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","load:0:1","load_probe","tg1","on","16","False","True","27.234376","0","3.74"
"Z:\files\gguf\lmstudio-community\Qwen3-30B-A3B-GGUF\Qwen3-30B-A3B-Q4_K_M.gguf","Qwen3-30B-A3B-Q4_K_M","in_ram","load:0:1","load_probe","tg1","auto","16","False","True","26.727034","0","3.974"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","load:0:1","load_probe","tg1","off","16","False","True","3.953158","0","1.803"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","load:0:1","load_probe","tg1","on","16","False","True","10.635944","0","1.912"
"Z:\files\gguf\lmstudio-community\gpt-oss-20b-GGUF\gpt-oss-20b-MXFP4.gguf","gpt-oss-20b-MXFP4","swap_bound","load:0:1","load_probe","tg1","auto","16","False","True","12.413","0","2.154"
